I0708 02:04:46.356845       1 azuredisk.go:65] 
DRIVER INFORMATION:
-------------------
Build Date: "2019-04-15T07:48:30Z"
Compiler: gc
Driver Name: disk.csi.azure.com
Driver Version: v0.2.0-alpha
Git Commit: eb37d28331fc88d4021bda2567c0ae6092aa016c
Go Version: go1.12.1
Platform: linux/amd64
Topology Key: topology.disk.csi.azure.com/zone

Streaming logs below:
I0708 02:06:26.607236       1 azure_managedDiskController.go:172] azureDisk - created new MD Name:pvc-disk-dynamic-fac4b8e4-a124-11e9-8c50-c6e5c33cad5d StorageAccountType:Standard_LRS Size:10
I0708 02:06:26.607270       1 controllerserver.go:205] create azure disk(pvc-disk-dynamic-fac4b8e4-a124-11e9-8c50-c6e5c33cad5d) account type(Standard_LRS) rg() location() size(10) successfully
I0708 02:06:26.607281       1 utils.go:112] GRPC response: volume:<capacity_bytes:10737418240 volume_id:"/subscriptions/.../resourceGroups/MC_andy-virtualnode_andy-virtualnode_eastus2/providers/Microsoft.Compute/disks/pvc-disk-dynamic-fac4b8e4-a124-11e9-8c50-c6e5c33cad5d" volume_context:<key:"cachingMode" value:"ReadOnly" > volume_context:<key:"kind" value:"managed" > volume_context:<key:"skuname" value:"Standard_LRS" > accessible_topology:<segments:<key:"topology.disk.csi.azure.com/zone" value:"" > > > 
I0708 02:06:49.141881       1 utils.go:106] GRPC call: /csi.v1.Identity/Probe
I0708 02:06:49.141901       1 utils.go:107] GRPC request: 
I0708 02:06:49.142094       1 utils.go:112] GRPC response: ready:<value:true > 
I0708 02:07:02.908790       1 utils.go:106] GRPC call: /csi.v1.Controller/ControllerPublishVolume
I0708 02:07:02.908930       1 utils.go:107] GRPC request: volume_id:"/subscriptions/.../resourceGroups/MC_andy-virtualnode_andy-virtualnode_eastus2/providers/Microsoft.Compute/disks/pvc-disk-dynamic-fac4b8e4-a124-11e9-8c50-c6e5c33cad5d" node_id:"aks-agentpool-41197296-0" volume_capability:<mount:<fs_type:"ext4" > access_mode:<mode:SINGLE_NODE_WRITER > > volume_context:<key:"cachingMode" value:"ReadOnly" > volume_context:<key:"kind" value:"managed" > volume_context:<key:"skuname" value:"Standard_LRS" > volume_context:<key:"storage.kubernetes.io/csiProvisionerIdentity" value:"1562551478534-8081-disk.csi.azure.com" > 
I0708 02:07:02.909162       1 controllerserver.go:267] ControllerPublishVolume: called with args {VolumeId:/subscriptions/.../resourceGroups/MC_andy-virtualnode_andy-virtualnode_eastus2/providers/Microsoft.Compute/disks/pvc-disk-dynamic-fac4b8e4-a124-11e9-8c50-c6e5c33cad5d NodeId:aks-agentpool-41197296-0 VolumeCapability:mount:<fs_type:"ext4" > access_mode:<mode:SINGLE_NODE_WRITER >  Readonly:false Secrets:map[] VolumeContext:map[cachingMode:ReadOnly kind:managed skuname:Standard_LRS storage.kubernetes.io/csiProvisionerIdentity:1562551478534-8081-disk.csi.azure.com] XXX_NoUnkeyedLiteral:{} XXX_unrecognized:[] XXX_sizecache:0}
I0708 02:07:02.948540       1 controllerserver.go:304] GetDiskLun returned: <nil>. Initiating attaching volume "/subscriptions/.../resourceGroups/MC_andy-virtualnode_andy-virtualnode_eastus2/providers/Microsoft.Compute/disks/pvc-disk-dynamic-fac4b8e4-a124-11e9-8c50-c6e5c33cad5d" to node "aks-agentpool-41197296-0".
I0708 02:07:02.948613       1 hashed.go:47] hashedKeyMutex.LockKey(...) called for id "/subscriptions/.../resourceGroups/MC_andy-virtualnode_andy-virtualnode_eastus2/providers/Microsoft.Compute/virtualMachines/aks-agentpool-41197296-0"
I0708 02:07:02.948626       1 hashed.go:49] hashedKeyMutex.LockKey(...) for id "/subscriptions/.../resourceGroups/MC_andy-virtualnode_andy-virtualnode_eastus2/providers/Microsoft.Compute/virtualMachines/aks-agentpool-41197296-0" completed.
I0708 02:07:03.011845       1 controllerserver.go:335] Trying to attach volume "/subscriptions/.../resourceGroups/MC_andy-virtualnode_andy-virtualnode_eastus2/providers/Microsoft.Compute/disks/pvc-disk-dynamic-fac4b8e4-a124-11e9-8c50-c6e5c33cad5d" lun 0 to node "aks-agentpool-41197296-0"
